Image,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25
fibrous_0207.jpg,25207.23931521046,39349892.33068002,37580.953125,10923.34375,18445682.203125,0.07217873086734695,27829.211909502592,441.40625,-442.359375,-48.203125,0.08658880739795916,6314.0994190328,220.296875,-218.5625,49.546875,-0.028795440051020423,22660.341664997537,456.5,-454.546875,-37.671875,0.1154089604591838,16684.414720208086,318.4375,-322.1875,245.046875
fibrous_0211.jpg,27924.27855867346,7984395.668365979,31709.84375,18208.890625,20142536.53125,0.028414381377551017,4249.528956079131,217.5625,-209.90625,10.828125,0.02531329719387754,740.3949960144781,90.53125,-89.265625,19.859375,0.03573740433673469,1334.7082834064504,131.9375,-135.0,25.671875,0.01911112882653057,3719.068133411656,186.78125,-191.59375,37.921875
fibrous_0102.jpg,16577.573522002556,33930971.91263175,28878.0625,5439.71875,11960886.0625,-0.45836575255102047,14023.385550570321,356.9375,-359.5,-361.03125,0.02540497448979591,2874.235304900059,167.15625,-170.453125,16.5625,-0.13425382653061224,8216.290581275787,309.375,-289.546875,-91.0625,0.9929464285714281,10421.766008509881,269.96875,-276.703125,771.75
fibrous_0124.jpg,20274.96747528698,52344810.76810272,36259.109375,6800.34375,14607353.390625,-0.5922735969387753,23521.37722095961,461.578125,-461.859375,-342.71875,-0.11554528061224487,5305.507993591133,227.1875,-223.703125,-66.96875,-0.018388073979591836,19563.983802240353,469.171875,-437.828125,3.3125,0.8379113520408163,14960.47689076874,332.171875,-331.828125,484.53125
fibrous_0111.jpg,34853.93157206633,12499419.841208084,41828.125,25180.15625,25236159.8125,-0.5395216836734695,5749.970055217226,231.640625,-234.265625,-367.65625,-0.033719706632653064,1112.4994174658668,106.84375,-108.484375,-20.875,-0.008075573979591827,2682.470098022309,193.953125,-187.3125,-5.8125,0.9778842474489793,4577.393635454465,189.125,-194.84375,672.6875
fibrous_0158.jpg,11752.963901466836,37233737.561841846,26632.5,3141.1875,8529810.8125,-0.10710459183673454,10445.75044439841,331.703125,-330.21875,-179.125,-0.02376116071428569,1978.9555947104564,150.0,-152.03125,-34.78125,-0.13878985969387755,5536.1522864905755,295.046875,-261.65625,-95.59375,0.14292570153061232,9100.713929387088,256.125,-271.59375,253.90625
fibrous_0156.jpg,23092.241187818883,65528652.50259064,39749.71875,7315.640625,16426189.125,-1.251708386479592,18134.7274069362,392.640625,-392.734375,-899.796875,-0.06302375637755103,3415.2599874706743,177.640625,-180.953125,-43.703125,0.17447146045918369,9916.077447459675,337.515625,-322.9375,123.703125,2.3143455038265297,16050.852743403424,325.296875,-334.265625,1668.484375
fibrous_0195.jpg,25768.25528061225,103186672.31346257,44060.640625,5995.984375,18647042.59375,0.3378619260204081,32870.61896224001,506.6875,-465.5,350.59375,-0.11257015306122448,5942.869342220528,223.515625,-218.265625,-65.75,-0.07960778061224491,13606.296046329171,374.109375,-370.203125,-39.375,-1.0134343112244897,29413.97296452634,412.34375,-437.234375,-898.4375
fibrous_0101.jpg,27064.039013871174,10722511.972091017,34550.78125,18469.421875,19647460.640625,-0.019663584183673484,10520.599182344435,304.875,-298.40625,-63.15625,0.09898596938775511,2510.1716484218814,148.359375,-147.921875,70.0625,0.03231505102040816,10050.957571305902,311.546875,-308.671875,-0.75,0.33628507653061224,5705.771985272413,218.515625,-214.078125,336.5
fibrous_0083.jpg,19089.55763392857,12429122.158152308,29000.984375,13091.796875,13783675.34375,0.2288552295918367,6638.343246548232,239.859375,-236.703125,145.625,0.016438137755102042,1407.652428401008,109.5625,-112.0,10.8125,0.21088329081632654,4724.125047991315,213.203125,-208.8125,137.8125,-0.40839604591836737,4615.306463424501,193.46875,-196.578125,-258.8125
fibrous_0213.jpg,21275.588273278066,11108746.757732283,28769.78125,14543.46875,15486625.15625,0.3933370535714284,3838.87696458938,209.046875,-202.265625,338.75,-0.009064094387755099,743.0235718332696,94.625,-91.734375,-9.75,-0.03637276785714284,2006.083731473946,178.765625,-170.328125,-35.125,-0.8138663903061225,3116.4989613464268,166.125,-165.140625,-706.75
fibrous_0159.jpg,29297.21925223214,24856631.270700533,39372.34375,18441.984375,21166374.09375,0.22548309948979606,8252.927148758576,291.625,-297.921875,111.96875,0.025629783163265314,1656.8977796828633,136.109375,-139.09375,8.59375,-0.05570631377551023,4502.255535789367,246.28125,-251.625,-58.65625,-0.37407684948979597,6367.738226089307,230.65625,-230.75,-198.15625
fibrous_0112.jpg,20837.953772321434,13046199.818352018,28320.765625,12093.171875,15200605.90625,0.20835698341836736,6596.82835212749,231.625,-228.078125,150.078125,0.01868064413265306,1348.2584488051448,107.578125,-107.453125,15.671875,-0.013564253826530613,3598.1191226057745,204.578125,-199.9375,-11.953125,-0.3606720344387754,4758.945077686992,183.1875,-188.421875,-253.140625
fibrous_0175.jpg,24039.563085937498,24825815.333012205,34749.34375,12306.0,17523417.546875,0.29673309948979587,23499.706198441727,435.53125,-417.5625,178.53125,-0.01492825255102041,5659.641852007628,217.484375,-213.375,-9.71875,0.12633290816326534,22519.787525784992,449.421875,-443.09375,76.5,-0.6382509566326534,12457.92563446936,292.921875,-297.34375,-386.21875
