Image,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Cluster
fibrous_0207.jpg,25207.23931521046,39349892.33068002,37580.953125,10923.34375,18445682.203125,0.0721787308673469,27829.211909502592,441.40625,-442.359375,-48.203125,0.0865888073979591,6314.0994190328,220.296875,-218.5625,49.546875,-0.0287954400510204,22660.341664997537,456.5,-454.546875,-37.671875,0.1154089604591838,16684.414720208086,318.4375,-322.1875,245.046875,0
fibrous_0211.jpg,27924.27855867346,7984395.668365979,31709.84375,18208.890625,20142536.53125,0.028414381377551,4249.528956079131,217.5625,-209.90625,10.828125,0.0253132971938775,740.3949960144781,90.53125,-89.265625,19.859375,0.0357374043367346,1334.7082834064504,131.9375,-135.0,25.671875,0.0191111288265305,3719.068133411656,186.78125,-191.59375,37.921875,0
fibrous_0102.jpg,16577.573522002556,33930971.91263175,28878.0625,5439.71875,11960886.0625,-0.4583657525510204,14023.38555057032,356.9375,-359.5,-361.03125,0.0254049744897959,2874.235304900059,167.15625,-170.453125,16.5625,-0.1342538265306122,8216.290581275787,309.375,-289.546875,-91.0625,0.992946428571428,10421.76600850988,269.96875,-276.703125,771.75,0
fibrous_0124.jpg,20274.96747528698,52344810.76810272,36259.109375,6800.34375,14607353.390625,-0.5922735969387753,23521.37722095961,461.578125,-461.859375,-342.71875,-0.1155452806122448,5305.507993591133,227.1875,-223.703125,-66.96875,-0.0183880739795918,19563.983802240356,469.171875,-437.828125,3.3125,0.8379113520408163,14960.47689076874,332.171875,-331.828125,484.53125,0
fibrous_0111.jpg,34853.93157206633,12499419.841208084,41828.125,25180.15625,25236159.8125,-0.5395216836734695,5749.970055217226,231.640625,-234.265625,-367.65625,-0.033719706632653,1112.4994174658668,106.84375,-108.484375,-20.875,-0.0080755739795918,2682.470098022309,193.953125,-187.3125,-5.8125,0.9778842474489792,4577.393635454465,189.125,-194.84375,672.6875,0
fibrous_0158.jpg,11752.963901466836,37233737.561841846,26632.5,3141.1875,8529810.8125,-0.1071045918367345,10445.75044439841,331.703125,-330.21875,-179.125,-0.0237611607142856,1978.9555947104564,150.0,-152.03125,-34.78125,-0.1387898596938775,5536.152286490576,295.046875,-261.65625,-95.59375,0.1429257015306123,9100.713929387088,256.125,-271.59375,253.90625,0
fibrous_0156.jpg,23092.241187818883,65528652.50259064,39749.71875,7315.640625,16426189.125,-1.251708386479592,18134.7274069362,392.640625,-392.734375,-899.796875,-0.063023756377551,3415.2599874706743,177.640625,-180.953125,-43.703125,0.1744714604591836,9916.077447459676,337.515625,-322.9375,123.703125,2.3143455038265297,16050.852743403424,325.296875,-334.265625,1668.484375,0
fibrous_0195.jpg,25768.25528061225,103186672.31346256,44060.640625,5995.984375,18647042.59375,0.3378619260204081,32870.61896224001,506.6875,-465.5,350.59375,-0.1125701530612244,5942.869342220528,223.515625,-218.265625,-65.75,-0.0796077806122449,13606.296046329173,374.109375,-370.203125,-39.375,-1.0134343112244897,29413.97296452634,412.34375,-437.234375,-898.4375,0
fibrous_0101.jpg,27064.039013871174,10722511.972091015,34550.78125,18469.421875,19647460.640625,-0.0196635841836734,10520.599182344436,304.875,-298.40625,-63.15625,0.0989859693877551,2510.1716484218814,148.359375,-147.921875,70.0625,0.0323150510204081,10050.957571305902,311.546875,-308.671875,-0.75,0.3362850765306122,5705.771985272413,218.515625,-214.078125,336.5,0
fibrous_0083.jpg,19089.55763392857,12429122.158152308,29000.984375,13091.796875,13783675.34375,0.2288552295918367,6638.343246548232,239.859375,-236.703125,145.625,0.016438137755102,1407.652428401008,109.5625,-112.0,10.8125,0.2108832908163265,4724.125047991315,213.203125,-208.8125,137.8125,-0.4083960459183673,4615.306463424501,193.46875,-196.578125,-258.8125,0
fibrous_0213.jpg,21275.588273278063,11108746.757732283,28769.78125,14543.46875,15486625.15625,0.3933370535714284,3838.87696458938,209.046875,-202.265625,338.75,-0.009064094387755,743.0235718332696,94.625,-91.734375,-9.75,-0.0363727678571428,2006.083731473946,178.765625,-170.328125,-35.125,-0.8138663903061225,3116.4989613464268,166.125,-165.140625,-706.75,0
fibrous_0159.jpg,29297.21925223214,24856631.270700533,39372.34375,18441.984375,21166374.09375,0.225483099489796,8252.927148758576,291.625,-297.921875,111.96875,0.0256297831632653,1656.8977796828633,136.109375,-139.09375,8.59375,-0.0557063137755102,4502.255535789367,246.28125,-251.625,-58.65625,-0.3740768494897959,6367.738226089307,230.65625,-230.75,-198.15625,0
fibrous_0112.jpg,20837.953772321434,13046199.818352018,28320.765625,12093.171875,15200605.90625,0.2083569834183673,6596.82835212749,231.625,-228.078125,150.078125,0.018680644132653,1348.2584488051448,107.578125,-107.453125,15.671875,-0.0135642538265306,3598.1191226057745,204.578125,-199.9375,-11.953125,-0.3606720344387754,4758.945077686992,183.1875,-188.421875,-253.140625,0
fibrous_0175.jpg,24039.563085937498,24825815.333012205,34749.34375,12306.0,17523417.546875,0.2967330994897958,23499.706198441727,435.53125,-417.5625,178.53125,-0.0149282525510204,5659.641852007628,217.484375,-213.375,-9.71875,0.1263329081632653,22519.787525784992,449.421875,-443.09375,76.5,-0.6382509566326534,12457.92563446936,292.921875,-297.34375,-386.21875,0
fibrous_0152.jpg,20672.22112484056,61142383.20121204,34148.71875,5045.421875,14891957.296875,-0.5654655612244899,7269.588989221207,273.46875,-267.03125,-382.65625,0.0943654336734693,1439.1630550716986,125.6875,-125.1875,64.40625,0.0529639668367347,4698.405302304298,247.921875,-236.796875,45.625,1.414027423469388,6114.318957360457,229.25,-232.15625,958.53125,0
fibrous_0202.jpg,24160.109688297187,71931894.87652914,40091.078125,7914.109375,17514786.296875,0.1527877869897959,26506.820793944946,449.34375,-443.265625,101.671875,0.0614564732142856,5419.942281313816,211.25,-206.765625,31.453125,0.2043662308673468,18430.995123359284,434.609375,-420.71875,133.921875,-0.1212061543367346,20587.38403160504,367.46875,-364.265625,-108.984375,0
fibrous_0168.jpg,25686.309529655613,31992951.973220307,37727.59375,12878.125,18409335.28125,-0.9345583545918368,12544.322809719988,336.21875,-350.390625,-594.09375,-0.0434661989795918,2438.815073409924,157.875,-161.828125,-12.875,0.0068239795918367,7004.2711317977055,302.59375,-293.46875,3.375,1.7387181122448976,10275.372980046805,287.265625,-279.453125,1149.5625,0
fibrous_0128.jpg,20647.500611447707,10633408.99108408,29161.046875,13282.0,14831324.484375,0.0245886479591836,10778.76798828793,316.421875,-319.75,5.96875,0.0548325892857142,2566.7659264196564,155.71875,-156.96875,39.1875,0.2745312499999999,9187.048583175634,328.078125,-310.84375,173.34375,0.1153204719387754,5801.076244376367,218.0625,-212.28125,105.625,0
fibrous_0137.jpg,37861.95112563775,1287363.367017332,40306.71875,34475.8125,27289423.03125,0.2122154017857142,9283.671555416811,281.984375,-285.25,147.828125,0.0987826849489796,2641.3208606818703,151.578125,-149.375,69.609375,-0.0448014987244897,15076.30379558806,351.625,-367.59375,-36.453125,-0.1280827487244898,2939.670091469497,165.15625,-156.328125,-86.828125,0
fibrous_0116.jpg,28454.314835778077,28650575.265998296,39170.046875,14957.09375,20608405.15625,-0.1463679846938776,42116.58302523704,535.53125,-528.796875,-109.03125,-0.0247799744897958,10569.84256002561,275.515625,-276.296875,-11.15625,-0.1821396683673469,45163.69096957176,599.25,-593.6875,-125.84375,0.2183960459183672,19650.918382290423,363.984375,-359.890625,184.59375,0
fibrous_0129.jpg,16344.30070073342,22585796.92373909,26451.53125,6832.28125,11995975.265625,0.0954201211734694,9408.962063386878,281.859375,-282.59375,88.921875,0.0936631058673469,2230.057221853728,139.375,-140.375,74.234375,0.1024545599489795,9580.867083099693,313.859375,-302.78125,65.671875,0.090149075255102,5493.915913825823,207.4375,-200.296875,44.859375,0
fibrous_0146.jpg,14424.550856983416,16585687.74816342,24806.8125,7513.6875,10230595.015625,0.0844092793367346,4323.662396936295,226.03125,-218.765625,-0.640625,-0.0442705676020408,871.4403554114417,102.421875,-97.953125,-42.578125,0.0199497767857142,2335.842234671711,181.625,-167.171875,7.078125,-0.3016302614795918,3266.167193217629,177.65625,-175.546875,-126.453125,0
fibrous_0150.jpg,17406.207852359694,26798458.943673864,28102.671875,7022.6875,12539239.0625,0.4116390306122449,13728.10389039357,371.890625,-369.140625,349.5,0.0593351403061224,2916.3038833815167,181.578125,-178.015625,38.84375,0.0183593749999999,8934.158459904806,351.5625,-336.625,-6.65625,-0.6452726403061222,9398.780544676616,268.5625,-271.515625,-582.46875,0
